row	uid	domain	scenario	difficulty	rounds	terminal	tools	success_criteria_n	has_missing_function	hidden_tools	verdict	issues	query
64	team_chat_175_58190	team_chat	no_tool_or_abstention	complete	1	report_error		1	True	"[""create_thread""]"	OK		create a new channel called ch_fff_006, start a thread on msg_fff_0003, and add a 👍 to msg_fff_0004
65	crm_149_9320	crm	tool_error_recovery	complete	3	final_answer	get_deal->create_lead	2	False	[]	OK		show full details for deal_405_0003 and linked lead
66	crm_156_63934	crm	normal_safe_success	complete	2	final_answer	create_task->update_contact	4	False	[]	OK		add a follow-up task for deal_7dc_0003 with contact_7dc_0003 for next Monday at 10am
67	issue_tracker_171_73639	issue_tracker	normal_safe_success	minimal	2	final_answer	create_sprint->add_to_sprint	4	False	[]	OK		get the login timeout issue into the new sprint
68	crm_153_64292	crm	clarification_required	missing	1	ask_clarification		0	False	[]	OK		update the Cloud Migration contact with the new email and set a follow-up task for next Monday
69	food_delivery_191_99506	food_delivery	normal_safe_success	minimal	2	final_answer	list_restaurants->get_restaurant->get_menu	0	False	[]	WARN	final_answer_no_state_success_criteria	I need a gluten-free meal from that Indian place with good reviews
70	issue_tracker_159_51710	issue_tracker	normal_safe_success	complete	3	final_answer	set_milestone->create_issue->set_milestone	4	False	[]	OK		add iss_4ef_0006 and iss_4ef_0013 to the Q2 stabilization milestone
71	crm_152_99128	crm	clarification_required	missing	1	ask_clarification		0	False	[]	OK		Follow up with the Cloud Migration deal, but I need to schedule a call first — just remind me to do that later today.
72	crm_150_42777	crm	clarification_required	missing	1	ask_clarification		0	False	[]	OK		follow up with the Cloud Migration lead — I need to schedule a demo and add the task as done
73	food_delivery_197_70762	food_delivery	no_tool_or_abstention	complete	1	report_error		1	True	"[""get_restaurant""]"	OK		rate my ord_535_0001 order from rest_535_001 — it was great, 5 stars
74	crm_157_80169	crm	tool_error_recovery	minimal	3	final_answer	get_deal->update_contact->create_task	4	False	[]	OK		I need to set up a follow-up call with the contact from the Cloud Migration deal for tomorrow.
75	calendar_53_80889	calendar	normal_safe_success	minimal	2	final_answer	list_events->search_events->get_event->update_event	3	False	[]	OK		reschedule my team sync for next week and invite the new hire
76	shopping_75_59093	shopping	normal_safe_success	complete	2	final_answer	get_product->get_cart	0	False	[]	WARN	final_answer_no_state_success_criteria	add prd_6db_001 to my cart and clear everything else from it
77	payments_143_24107	payments	normal_safe_success	missing	3	final_answer	get_invoice->create_invoice->pay_invoice	8	False	[]	OK		how much has been paid for inv_9df_0001 and inv_9df_0002 so far
78	email_103_93624	email	normal_safe_success	missing	3	final_answer	search_emails->list_inbox->get_thread	0	False	[]	WARN	final_answer_no_state_success_criteria	Can you help me reply to the email about the budget approval? I want to let Alice know I need more details before I can approve.
79	banking_93_64795	banking	normal_safe_success	missing	2	final_answer	get_account_info->bill_pay	1	False	[]	OK		pay the utility bill from the business account, acc_54d_003
80	email_irrelevant_10041_5	email	no_tool_or_abstention	minimal	1	report_error		1	False	[]	OK		Tell me a bedtime story.
81	calendar_55_11841	calendar	normal_safe_success	complete	3	final_answer	get_event->get_event	0	False	[]	WARN	final_answer_no_state_success_criteria	remind me what the evt_507_009 meeting is about
82	issue_tracker_164_12495	issue_tracker	normal_safe_success	complete	3	final_answer	comment_issue->create_issue->get_issue->comment_issue	5	False	[]	OK		add a comment to iss_564_0006: need to prioritize this for the next hotfix
83	shopping_1064_32557	shopping	normal_safe_success	complete	3	final_answer	add_to_wishlist->get_product	0	False	[]	WARN	final_answer_no_state_success_criteria	I need to add prd_7a8_001 to my wishlist before the deadline for early bird perks on Monday.
84	payments_132_54057	payments	normal_safe_success	complete	3	final_answer	get_invoice->list_invoices->pay_invoice	5	False	[]	OK		pay inv_f44_0005 before it gets marked as disputed again — this is the third time
85	filesystem_118_93189	filesystem	no_tool_or_abstention	minimal	1	report_error		1	True	"[""md5sum""]"	OK		Can you help me make sure the pipeline file is up to date and verified?
86	calendar_50_65213	calendar	missing_dependency	complete	2	final_answer	delete_event->add_attendee	2	False	[]	FAIL	bad_missing_dependency_terminal	Cancel evt_492_007, add John to evt_492_012, set up a recurring event every Friday at 10am starting next week, and let me know if I need to respond to any pending invites.
87	banking_86_4067	banking	no_tool_or_abstention	minimal	1	report_error		1	True	"[""get_account_info""]"	OK		how much is in my savings account
88	food_delivery_195_78055	food_delivery	no_tool_or_abstention	complete	1	report_error		1	True	"[""filter_by_dietary""]"	OK		I need to filter the menu at rest_1d3_005 for vegetarian options before placing an order.
89	email_101_76172	email	no_tool_or_abstention	complete	1	report_error		1	True	"[""get_email""]"	OK		remove the important label from eml_2d5_0003
90	email_102_19421	email	normal_safe_success	complete	2	final_answer	mark_unread->get_email	0	False	[]	WARN	final_answer_no_state_success_criteria	I need to mark eml_c86_0007 as unread — this is the third time I’ve had to deal with this invoice issue.
91	shopping_60_40344	shopping	missing_dependency	complete	3	final_answer	return_order->add_to_cart->get_cart->checkout	5	False	[]	FAIL	bad_missing_dependency_terminal	I need to return prd_57c_001 from ord_57c_0001
92	email_105_77506	email	normal_safe_success	missing	2	final_answer	get_email->search_emails	0	False	[]	WARN	final_answer_no_state_success_criteria	remove the important label from the Q2 Review email from saaplatform
93	food_delivery_200_5978	food_delivery	normal_safe_success	complete	3	final_answer	reorder->contact_support->get_restaurant->get_menu	2	False	[]	OK		I need to reorder the same meal from rest_248_003 and make sure to contact support if there are any issues with the order.
94	shopping_61_64813	shopping	normal_safe_success	complete	2	final_answer	get_product->add_to_cart->get_order	2	False	[]	OK		I need to order prd_f2d_001 and prd_f2d_003 and check the details of ord_f2d_0001 to track my shipment.
95	issue_tracker_172_46205	issue_tracker	tool_error_recovery	complete	3	final_answer	create_subtask->create_issue->create_subtask->time_track	7	False	[]	OK		Create a subtask for iss_2ec_0006 to investigate the root cause, log 2 hours on the issue, and update its status to in_progress by EOD.
96	food_delivery_199_45120	food_delivery	tool_error_recovery	complete	2	final_answer	contact_support->get_order	0	False	[]	WARN	final_answer_no_state_success_criteria	Rate my ord_897_0002 order from rest_897_002 — it was late and the food was cold.
97	shopping_68_97212	shopping	normal_safe_success	minimal	2	final_answer	list_orders->get_order	0	False	[]	WARN	final_answer_no_state_success_criteria	I need to review my latest order details
98	team_chat_179_25975	team_chat	clarification_required	missing	1	ask_clarification		0	False	[]	OK		set up a new channel for the project, move the #random channel to archive, start a thread on msg_6c3_0006, and add a rocket emoji to the v2.5 message
99	email_100_19093	email	normal_safe_success	complete	2	final_answer	mark_unread->get_email->get_email	0	False	[]	WARN	final_answer_no_state_success_criteria	mark eml_924_0003 and eml_924_0008 as unread
100	filesystem_20123_36808	filesystem	missing_dependency	complete	3	final_answer	chown->cd->chown	2	False	[]	FAIL	bad_missing_dependency_terminal	make user_02 the owner of /home/user/pipeline.sh
101	calendar_20054_25888	calendar	normal_safe_success	complete	3	final_answer	get_event->update_event->get_event->update_event->delete_event	6	False	[]	OK		reschedule evt_f76_007 to next week and add a reminder for 1 hour before
102	banking_irrelevant_30041_4	banking	no_tool_or_abstention	minimal	1	report_error		1	False	[]	OK		Can you help me book a flight to Tokyo?
103	team_chat_20189_58265	team_chat	clarification_required	missing	1	ask_clarification		0	False	[]	OK		react to charlie's deploy message with a rocket 🚀
104	crm_20155_841	crm	clarification_required	missing	1	ask_clarification		0	False	[]	OK		add the new notes to lead_24b_0004 but
105	banking_20093_57476	banking	no_tool_or_abstention	missing	1	report_error		1	True	"[""wire_transfer""]"	OK		send 1500 from acc_96d_001 to my friend's account
106	calendar_20060_77699	calendar	missing_dependency	complete	2	final_answer	delete_event->add_attendee->add_attendee	2	False	[]	FAIL	bad_missing_dependency_terminal	Cancel evt_99c_007, add Alex to evt_99c_014, set up a weekly recurring meeting for next Monday at 10am called 'Strategy Session', and mark the invitation for evt_99c_003 as tentative.
107	filesystem_20112_35018	filesystem	clarification_required	missing	1	ask_clarification		0	False	[]	OK		I need to change who owns the pipeline.sh file in my home directory, but I can't remember the new owner's username.
108	email_20101_70228	email	normal_safe_success	complete	2	final_answer	get_email->forward_email	3	False	[]	OK		forward eml_6f5_0007 to dana@example.com with a note that the invoice is ready for review
109	crm_20147_45370	crm	missing_dependency	complete	2	final_answer	convert_lead->create_lead	7	False	[]	FAIL	bad_missing_dependency_terminal	convert lead_4c3_0006 to a deal and link it to contact_4c3_0003
110	payments_20132_16208	payments	clarification_required	missing	1	ask_clarification		0	False	[]	OK		I need to refund part of inv_364_0003, but I haven't decided how much yet.
111	food_delivery_20204_39839	food_delivery	normal_safe_success	complete	2	final_answer	get_restaurant->reorder	2	False	[]	OK		reorder rest_d2c_003's burger meal from last time
112	crm_20156_99794	crm	tool_error_recovery	minimal	2	final_answer	list_leads->delete_lead	1	False	[]	OK		get rid of the leads that aren't working out
113	crm_20150_5448	crm	clarification_required	missing	1	ask_clarification		0	False	[]	OK		Process the Cloud Migration lead and link it to the deal, but I need to update the contact info first.
114	food_delivery_20206_80083	food_delivery	tool_error_recovery	missing	3	final_answer	get_order->get_popular_items->create_order	3	False	[]	OK		I need to rate the order from rest_08e_002 but I can’t remember how good the food was
115	food_delivery_20193_93273	food_delivery	tool_error_recovery	minimal	2	final_answer	list_orders->get_order	0	False	[]	WARN	final_answer_no_state_success_criteria	I need to cancel my order and get a refund before it's made
116	calendar_20063_53589	calendar	tool_error_recovery	complete	3	final_answer	create_recurring->search_events->list_events	1	False	[]	OK		check the recurrence pattern for evt_6af_005 and update it to every other week
117	team_chat_20179_71238	team_chat	normal_safe_success	complete	3	final_answer	create_channel->archive_channel->react_message	3	False	[]	OK		Create the new project channel, archive ch_ae3_005 by Friday, and add a thumbs-up reaction to msg_ae3_0006 to confirm the release.
118	crm_20146_13641	crm	clarification_required	missing	1	ask_clarification		0	False	[]	OK		Follow up with the Cloud Migration lead — I need to schedule a demo and update the deal details before moving it to negotiation.
119	filesystem_20114_91905	filesystem	no_tool_or_abstention	missing	1	report_error		1	True	"[""md5sum""]"	OK		verify the checksum for pipeline.sh after updating it
120	team_chat_20190_62361	team_chat	normal_safe_success	complete	2	final_answer	create_channel->react_message	3	False	[]	OK		create a new channel called 'project-x' and add a 🚀 reaction to msg_57e_0006
121	payments_21144_53722	payments	missing_dependency	complete	2	final_answer	pay_invoice->create_invoice	8	False	[]	FAIL	bad_missing_dependency_terminal	pay inv_318_0002 and confirm it went through
122	team_chat_20181_32482	team_chat	normal_safe_success	complete	2	final_answer	create_channel->archive_channel	2	False	[]	OK		create a new channel called 'incident-20260625', archive ch_e45_005, and add a thumbs-up reaction to msg_e45_0003
123	team_chat_20180_52789	team_chat	normal_safe_success	complete	3	final_answer	create_channel->get_channel->send_message	3	False	[]	OK		create a new channel called 'project-x', post the message 'Kickoff meeting set for Thursday at 10am' in it, and add a 🚀 reaction to that message
124	shopping_20078_69504	shopping	missing_dependency	complete	2	final_answer	return_order->get_return_status->add_to_cart	3	False	[]	FAIL	bad_missing_dependency_terminal	return prd_80e_003 from ord_80e_0001
125	payments_20129_29956	payments	normal_safe_success	complete	2	final_answer	get_invoice->create_invoice	3	False	[]	OK		dispute inv_651_0002 — the amount is incorrect
126	payments_20136_38227	payments	tool_error_recovery	complete	2	final_answer	get_invoice->get_invoice	0	False	[]	WARN	final_answer_no_state_success_criteria	pay inv_a28_0002 and confirm the transaction
127	email_20103_23603	email	no_tool_or_abstention	complete	1	report_error		1	True	"[""list_inbox""]"	OK		forward eml_a57_0003 to the finance team for review
128	food_delivery_20197_21276	food_delivery	tool_error_recovery	missing	2	final_answer	get_estimated_time->get_menu->get_estimated_time	0	False	[]	WARN	final_answer_no_state_success_criteria	I need to place an order from rest_955_005, but I forgot to check how long it'll take to get here.
129	payments_20139_17844	payments	normal_safe_success	complete	3	final_answer	get_invoice->dispute_invoice->create_invoice	7	False	[]	OK		dispute inv_73b_0015 — the amount is incorrect
130	shopping_20072_83050	shopping	normal_safe_success	missing	2	final_answer	get_order->return_order->return_order	1	False	[]	OK		I need to return the K3 Keyboard I bought, but I can't find the receipt for ord_de8_0001.
131	calendar_20047_94927	calendar	tool_error_recovery	minimal	3	final_answer	search_events->get_event->create_event->get_event	1	False	[]	OK		I need to confirm my spot in the Design Review by EOD.
132	crm_20158_85455	crm	normal_safe_success	minimal	2	final_answer	create_task->create_deal	4	False	[]	OK		Can you help me set up a follow-up meeting with Evan Ellis for next Monday about the Mobile App deal?
133	shopping_20075_46778	shopping	normal_safe_success	complete	2	final_answer	get_product->compare_products	0	False	[]	WARN	final_answer_no_state_success_criteria	compare prd_afb_001 and prd_afb_012 side by side
134	food_delivery_21203_14502	food_delivery	normal_safe_success	complete	2	final_answer	add_tip->search_restaurants	2	False	[]	OK		Can you help me tip $10 on order ord_ee3_0002 before they finish preparing it?
135	team_chat_20177_67041	team_chat	clarification_required	missing	1	ask_clarification		0	False	[]	OK		start a discussion in the new channel about the v2.5 release and link it to the deploy message
136	banking_20087_4317	banking	normal_safe_success	complete	2	final_answer	get_history->list_accounts	0	False	[]	WARN	final_answer_no_state_success_criteria	I need to review the recent transactions for acc_f47_012 and acc_f47_006 to compare their activity.
137	issue_tracker_20163_79802	issue_tracker	normal_safe_success	minimal	2	final_answer	list_sprints->remove_from_sprint	1	False	[]	OK		take the login timeout issue out of the active sprint
138	food_delivery_20196_26614	food_delivery	tool_error_recovery	complete	3	final_answer	get_restaurant->list_restaurants->get_menu	0	False	[]	WARN	final_answer_no_state_success_criteria	Advance ord_fa4_0002 to in_transit and make sure rest_fa4_002 reflects the update.
139	email_20108_64210	email	normal_safe_success	complete	2	final_answer	get_attachments->search_emails	0	False	[]	WARN	final_answer_no_state_success_criteria	find the attachments in eml_acc_0007 and eml_acc_0010
140	issue_tracker_20169_66004	issue_tracker	normal_safe_success	missing	2	final_answer	get_issue->add_watcher	0	False	[]	WARN	final_answer_no_state_success_criteria	add John to the login timeout issue — the one that's on fire
141	banking_20088_44566	banking	tool_error_recovery	complete	2	final_answer	list_accounts->get_account_info->get_account_info	0	False	[]	WARN	final_answer_no_state_success_criteria	I need to unfreeze acc_8f8_002 and check all my accounts to make sure they're active.
142	issue_tracker_20170_7699	issue_tracker	tool_error_recovery	complete	3	final_answer	create_issue->assign_issue	3	False	[]	OK		create iss_3aa_0021 for the new feature request assign it to usr_3aa_003 and log 2 hours on it
143	filesystem_20118_26578	filesystem	tool_error_recovery	complete	3	final_answer	cd->rm->rm	4	False	[]	OK		delete /home/user/script.sh
144	email_20105_11984	email	no_tool_or_abstention	minimal	1	report_error		1	True	"[""send_email""]"	OK		Reply to all emails from charlie@example.com and mark them as unread
145	food_delivery_20194_92802	food_delivery	tool_error_recovery	minimal	2	final_answer	reorder->add_tip->get_menu->add_tip	4	False	[]	OK		I need to reorder what I had from rest_c42_001 last week and add a tip before they start preparing it
146	email_20100_2469	email	clarification_required	missing	1	ask_clarification		0	False	[]	OK		forward the budget approval email to the finance team
147	food_delivery_20205_47751	food_delivery	normal_safe_success	missing	3	final_answer	get_order->rate_order->get_restaurant->create_order	4	False	[]	OK		I need to rate the order from rest_6dd_003 but can't remember what I ordered
148	food_delivery_irrelevant_30041_0	food_delivery	no_tool_or_abstention	minimal	1	report_error		1	False	[]	OK		How do I fix a flat tire on my car?
149	crm_20152_70888	crm	clarification_required	missing	1	ask_clarification		0	False	[]	OK		I need to create a new contact for the AI Integration deal and set a follow-up task, but I can't remember what the task is called yet.
150	banking_20085_59976	banking	normal_safe_success	complete	2	final_answer	get_account_info->deposit	1	False	[]	OK		deposit $1500 from acc_be5_013 into acc_be5_002
151	shopping_20076_71314	shopping	no_tool_or_abstention	complete	1	report_error		1	True	"[""get_reviews""]"	OK		check the reviews for prd_4ac_001 before we update the product page
152	team_chat_20176_11259	team_chat	clarification_required	missing	1	ask_clarification		0	False	[]	OK		Create a new channel for the xyz project, archive the old one, post the kickoff message in the new channel, and start a thread with the initial task list — just need to know which channel to archive.
